
# Efinity Interface Configuration
# Version: 2021.1.165
# Date: 2021-09-28 21:59

# Copyright (C) 2017 - 2021 Efinix Inc. All rights reserved.

# [required | optional] (input|output|clkout), x, y, z, __bypass__|[~|!]<clock>, [[~|!]<pin_name>] | __vcc__ | __gnd__
clkout, 78, 22, -1, clk
clkout, 78, 23, -1, clk
clkout, 78, 25, -1, clk
clkout, 78, 26, -1, clk
input, 78, 85, 1, __bypass__, clk
output, 0, 105, 0, __bypass__, error_led_o
output, 78, 155, 0, __bypass__, led_o[0]
output, 78, 142, 0, __bypass__, led_o[1]
output, 78, 130, 0, __bypass__, led_o[2]
output, 78, 125, 0, __bypass__, led_o[3]
output, 78, 112, 0, __bypass__, led_o[4]
output, 78, 107, 0, __bypass__, led_o[5]
output, 78, 102, 0, __bypass__, led_o[6]
output, 78, 97, 0, __bypass__, led_o[7]
output, 78, 92, 0, __bypass__, led_o[8]
input, 78, 145, 1, __bypass__, reset_i
input, 78, 22, 1, __bypass__, scl_i
output, 78, 22, 0, __bypass__, scl_o
output, 78, 23, 0, __bypass__, scl_oe
input, 78, 25, 1, __bypass__, sda_i
output, 78, 25, 0, __bypass__, sda_o
output, 78, 26, 0, __bypass__, sda_oe
