time (s),VT("/VIN") (V),VT("/VOUT") (V)
0.000,450.0E-3,445.9E-3
25.00E-12,450.1E-3,445.9E-3
50.00E-12,450.1E-3,445.9E-3
130.0E-12,450.4E-3,445.9E-3
386.0E-12,451.1E-3,445.9E-3
1.205E-9,453.4E-3,445.9E-3
3.827E-9,460.8E-3,445.9E-3
12.22E-9,484.5E-3,446.1E-3
39.06E-9,560.2E-3,450.0E-3
88.23E-9,696.3E-3,510.6E-3
121.9E-9,786.2E-3,590.7E-3
220.1E-9,1.024,821.8E-3
255.0E-9,1.096,888.8E-3
266.2E-9,1.118,897.6E-3
278.3E-9,1.140,900.7E-3
300.0E-9,1.178,899.7E-3
315.4E-9,1.203,900.0E-3
337.9E-9,1.236,900.0E-3
403.7E-9,1.309,900.0E-3
500.0E-9,1.350,900.0E-3
513.7E-9,1.349,900.0E-3
535.0E-9,1.345,900.0E-3
603.1E-9,1.303,900.0E-3
700.0E-9,1.178,900.0E-3
714.8E-9,1.153,900.0E-3
737.0E-9,1.112,900.0E-3
808.2E-9,960.0E-3,899.8E-3
895.5E-9,740.3E-3,853.7E-3
951.9E-9,585.5E-3,745.0E-3
1.000E-6,450.0E-3,616.4E-3
1.034E-6,352.7E-3,527.1E-3
1.071E-6,250.6E-3,432.9E-3
1.166E-6,1.371E-3,200.4E-3
1.243E-6,-172.6E-3,36.84E-3
1.300E-6,-278.1E-3,-1.088E-3
1.324E-6,-315.3E-3,-69.00E-6
1.339E-6,-336.7E-3,44.78E-6
1.387E-6,-393.4E-3,-36.27E-6
1.468E-6,-445.6E-3,33.35E-6
1.500E-6,-450.0E-3,-28.53E-6
1.513E-6,-449.3E-3,-2.769E-6
1.535E-6,-444.7E-3,2.196E-6
1.605E-6,-401.5E-3,-1.901E-6
1.700E-6,-278.1E-3,2.768E-6
1.715E-6,-252.8E-3,535.5E-9
1.737E-6,-211.8E-3,427.1E-9
1.808E-6,-59.91E-3,99.00E-6
1.895E-6,159.8E-3,33.21E-3
1.958E-6,332.8E-3,150.6E-3
2.000E-6,450.0E-3,267.5E-3
2.046E-6,580.3E-3,392.0E-3
2.074E-6,657.1E-3,466.1E-3
2.162E-6,889.7E-3,691.3E-3
2.240E-6,1.065,861.5E-3
2.255E-6,1.096,888.0E-3
2.261E-6,1.108,895.5E-3
2.265E-6,1.115,897.9E-3
2.275E-6,1.135,900.4E-3
2.300E-6,1.178,899.8E-3
2.312E-6,1.198,900.0E-3
2.337E-6,1.235,900.0E-3
2.412E-6,1.316,900.0E-3
2.500E-6,1.350,900.0E-3
2.514E-6,1.349,900.0E-3
2.535E-6,1.345,900.0E-3
2.603E-6,1.303,900.0E-3
2.700E-6,1.178,900.0E-3
2.715E-6,1.153,900.0E-3
2.737E-6,1.112,900.0E-3
2.808E-6,960.0E-3,899.8E-3
2.895E-6,740.3E-3,853.7E-3
2.952E-6,585.5E-3,745.0E-3
3.000E-6,450.0E-3,616.4E-3
3.034E-6,352.7E-3,527.1E-3
3.071E-6,250.6E-3,432.8E-3
3.166E-6,1.366E-3,200.4E-3
3.243E-6,-172.6E-3,36.84E-3
3.300E-6,-278.1E-3,-1.088E-3
3.324E-6,-315.3E-3,-69.01E-6
3.339E-6,-336.7E-3,44.78E-6
3.387E-6,-393.4E-3,-36.28E-6
3.468E-6,-445.6E-3,33.36E-6
3.500E-6,-450.0E-3,-28.53E-6
3.513E-6,-449.3E-3,-2.769E-6
3.535E-6,-444.7E-3,2.196E-6
3.605E-6,-401.5E-3,-1.901E-6
3.700E-6,-278.1E-3,2.768E-6
3.715E-6,-252.8E-3,535.5E-9
3.737E-6,-211.8E-3,427.1E-9
3.808E-6,-59.91E-3,98.99E-6
3.895E-6,159.8E-3,33.21E-3
3.958E-6,332.8E-3,150.6E-3
4.000E-6,450.0E-3,267.5E-3
4.046E-6,580.3E-3,392.0E-3
4.074E-6,657.1E-3,466.1E-3
4.162E-6,889.7E-3,691.3E-3
4.240E-6,1.065,861.5E-3
4.255E-6,1.096,888.0E-3
4.261E-6,1.108,895.5E-3
4.265E-6,1.115,897.9E-3
4.275E-6,1.135,900.4E-3
4.300E-6,1.178,899.8E-3
4.312E-6,1.198,900.0E-3
4.337E-6,1.235,900.0E-3
4.412E-6,1.316,900.0E-3
4.500E-6,1.350,900.0E-3
4.514E-6,1.349,900.0E-3
4.535E-6,1.345,900.0E-3
4.603E-6,1.303,900.0E-3
4.700E-6,1.178,900.0E-3
